ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct
CCEP,2025-11-04,86.96,83.4629,93.9543,9.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-12,93.9543,7.9931,take_profit,6,-0.253,8.2682
EXC,2025-11-04,46.38,44.6086,49.9229,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.9x",2025-11-13,45.45,-2.0552,expired,7,-2.8245,1.0996
AMGN,2025-11-04,296.7,284.6686,320.7629,8.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.6x",2025-11-05,320.7629,8.0602,take_profit,1,0.0,8.8574
COST,2025-11-04,940.74,911.9586,998.3028,7.6,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2025-11-06,911.9586,-3.1094,stop_loss,2,-3.4483,0.4826
ODFL,2025-11-04,141.36,130.7043,162.6714,7.6,"20MA눌림목, 50MA눌림목, 골든크로스, 스토캐스틱크로스",2025-11-13,135.45,-4.2308,expired,7,-4.7326,1.4219
TTWO,2025-11-05,254.76,245.3757,273.5286,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.8x, 스토캐스틱크로스",2025-11-07,245.3757,-3.7336,stop_loss,2,-10.7984,0.8479
KDP,2025-11-05,26.72,25.0529,30.0543,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-14,27.13,1.4844,expired,7,-3.256,2.2829
MNST,2025-11-05,67.87,65.4314,72.7471,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스",2025-11-14,71.31,5.0185,expired,7,-2.9321,6.9987
NXPI,2025-11-05,210.44,195.8657,239.5886,8.8,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-11-14,197.1,-6.3891,expired,7,-6.7763,0.0
PYPL,2025-11-05,68.06,62.555,79.07,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-14,62.81,-7.7638,expired,7,-7.8019,0.0147
BKR,2025-11-06,47.29,43.8457,54.1786,7.3,"20MA눌림목, 50MA눌림목, 스토캐스틱크로스",2025-11-17,47.88,1.1976,expired,7,-1.2265,4.7367
FANG,2025-11-06,140.77,132.9014,156.5071,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-17,146.37,3.9281,expired,7,-0.7956,6.5355
APP,2025-11-06,621.36,561.6064,740.8671,7.1,"20MA눌림목, 거래량2.0x, 스토캐스틱크로스",2025-11-13,561.6064,-9.6666,stop_loss,5,-12.6947,8.6327
ORLY,2025-11-06,95.0,89.8671,105.2657,4.8,"20MA눌림목, BB하단반등",2025-11-17,99.56,4.75,expired,7,0.0,5.2632
TXN,2025-11-06,161.38,150.8129,182.5143,4.3,강세다이버전스,2025-11-17,154.99,-4.0096,expired,7,-4.8581,2.5158
ABNB,2025-11-07,120.88,114.5717,133.4966,9.8,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.4x, 스토캐스틱크로스",2025-11-18,115.42,-4.5669,expired,7,-4.5417,2.1335
PEP,2025-11-07,142.95,137.8129,153.2243,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-18,148.77,4.0214,expired,7,-1.1822,4.8129
CSCO,2025-11-07,71.07,68.3114,76.5871,7.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-13,76.5871,7.713,take_profit,4,0.0,11.8615
CSX,2025-11-07,35.34,34.03,37.96,7.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-17,34.03,-3.7568,stop_loss,6,-3.8483,0.3961
FAST,2025-11-07,40.85,39.2757,43.9986,7.6,"20MA눌림목, BB하단반등, 강세다이버전스",2025-11-18,39.96,-2.2287,expired,7,-3.4517,1.5912
FTNT,2025-11-10,82.28,76.9643,92.9114,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,79.73,-3.1492,expired,7,-3.8162,2.3821
HON,2025-11-10,196.07,187.0326,214.1448,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,190.57,-2.8551,expired,7,-3.6008,3.5548
PCAR,2025-11-10,98.98,94.0086,108.9229,8.4,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-11-17,94.0086,-5.0727,stop_loss,5,-5.1728,1.0002
GEHC,2025-11-10,73.48,69.0619,82.3163,8.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,72.31,-1.6423,expired,7,-4.6883,2.8715
GFS,2025-11-10,34.62,31.9247,40.0106,8.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,32.94,-4.9027,expired,7,-7.1635,7.4235
CMCSA,2025-11-11,25.7263,24.1237,28.9316,8.3,"20MA눌림목, BB하단반등, 거래량1.6x, 스토캐스틱크로스",2025-11-20,24.9578,-3.0372,expired,7,-3.2787,3.0237
TMUS,2025-11-11,211.98,200.1671,235.6057,7.1,"20MA눌림목, 강세다이버전스, MACD상향",2025-11-20,210.51,-0.7435,expired,7,-0.9859,2.9956
INTU,2025-11-11,654.32,624.1571,714.6458,6.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-20,637.44,-2.6298,expired,7,-2.5798,1.9104
MSFT,2025-11-11,508.68,487.3857,551.2686,6.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-18,487.3857,-4.2362,stop_loss,5,-4.3053,0.9476
ADI,2025-11-11,233.41,221.2643,257.7014,6.3,"20MA눌림목, BB하단반등, 강세다이버전스",2025-11-20,225.2,-3.5674,expired,7,-3.9244,3.6802
ROP,2025-11-12,455.2,434.7786,496.0429,8.1,"20MA눌림목, 강세다이버전스, MACD상향",2025-11-21,443.75,-2.5654,expired,7,-3.9104,0.0
LULU,2025-11-12,170.9,158.8357,195.0286,7.1,"20MA눌림목, 50MA눌림목, MACD상향",2025-11-21,168.18,-1.6416,expired,7,-5.8104,1.3634
COST,2025-11-12,914.0,886.8357,968.3286,6.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-19,886.8357,-3.022,stop_loss,5,-4.3797,1.6291
CDW,2025-11-12,147.39,136.3714,169.4271,6.3,"20MA눌림목, 강세다이버전스, 스토캐스틱크로스",2025-11-20,136.3714,-7.5258,stop_loss,6,-7.7821,2.0083
KHC,2025-11-12,24.75,23.613,27.024,6.1,"20MA눌림목, BB하단반등, MACD상향",2025-11-21,25.29,2.1318,expired,7,-1.5354,3.1717
COST,2025-11-13,925.08,897.6043,980.0315,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-18,897.6043,-3.0201,stop_loss,3,-3.3413,0.4119
CTAS,2025-11-13,187.91,181.2471,201.2357,6.1,"20MA눌림목, BB하단반등",2025-11-19,181.2471,-3.5958,stop_loss,4,-3.7358,0.6013
CSGP,2025-11-13,68.53,62.8843,79.8214,6.1,"강세다이버전스, MACD상향",2025-11-24,67.55,-1.48,expired,7,-5.5596,0.7734
CSCO,2025-11-13,77.38,73.6571,84.8257,5.67,"돌파(20d_high_breakout), MACD상향, 이평정배열, 거래량2.6x",2025-11-24,76.24,-1.5232,expired,7,-2.6622,3.4634
VRSK,2025-11-13,217.68,201.7443,249.5514,5.6,"20MA눌림목, MACD상향, 스토캐스틱크로스",2025-11-24,219.84,0.9423,expired,7,-1.5206,3.8635
WDAY,2025-11-14,230.82,217.2714,257.9172,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 거래량1.5x, 스토캐스틱크로스",2025-11-20,217.2714,-5.9198,stop_loss,4,-6.1736,0.1776
AVGO,2025-11-14,342.46,314.3157,398.7486,7.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-25,385.03,12.3807,expired,7,-3.1128,13.3359
DASH,2025-11-14,206.96,183.795,253.29,7.3,"강세다이버전스, 거래량2.0x, 스토캐스틱크로스",2025-11-21,183.795,-11.243,stop_loss,5,-12.041,4.6086
EXC,2025-11-14,45.94,43.9714,49.8771,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-25,45.78,-0.3983,expired,7,-1.4367,2.0679
XEL,2025-11-14,80.58,77.3943,86.9514,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-25,80.39,-0.2858,expired,7,-1.9236,2.1097
ORLY,2025-11-17,99.56,95.3643,107.9514,6.4,"20MA눌림목, 50MA눌림목, 이평정배열",2025-11-26,101.51,1.9086,expired,7,-1.6975,2.3403
EXC,2025-11-17,46.6,44.5857,50.6286,6.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-26,46.57,-0.1144,expired,7,-2.8326,0.5365
CEG,2025-11-17,338.67,302.3854,411.2392,5.8,"BB하단반등, 스토캐스틱크로스",2025-11-26,359.09,5.9795,expired,7,-2.3061,11.9674
CPRT,2025-11-17,41.33,39.1257,45.7386,5.3,"20MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-24,39.1257,-5.3834,stop_loss,5,-6.436,1.113
ASML,2025-11-17,1020.0,970.2229,1119.5543,4.8,"20MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-21,970.2229,-4.9301,stop_loss,4,-7.2441,3.0343
PCAR,2025-11-18,97.0,92.0443,106.9114,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.7x, 스토캐스틱크로스",2025-11-28,105.42,8.6304,expired,7,-0.8247,9.0206
CCEP,2025-11-18,90.25,86.3157,98.1186,8.9,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-11-28,91.69,1.5456,expired,7,-1.7396,2.0942
MDLZ,2025-11-18,55.78,53.4057,60.5286,8.8,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-11-28,57.57,3.159,expired,7,-1.3446,3.3166
PEP,2025-11-18,148.77,144.0229,158.2643,8.72,"20MA눌림목, 50MA눌림목, 돌파(10d_high_breakout), 거래량1.6x",2025-11-28,148.74,-0.0702,expired,7,-2.6954,0.1143
BKR,2025-11-18,48.06,45.1014,53.9771,8.1,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-28,50.2,4.4028,expired,7,-1.831,5.1394
BKR,2025-11-19,48.48,45.5271,54.3857,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-12-01,50.16,3.4153,expired,7,-1.4645,5.033
CRWD,2025-11-19,520.59,484.4116,592.9469,8.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-21,484.4116,-6.9995,stop_loss,2,-8.2675,3.5978
ADP,2025-11-19,250.41,241.2743,268.6814,7.3,"20MA눌림목, BB하단반등, 강세다이버전스, MACD상향",2025-12-01,255.84,2.1184,expired,7,-1.0543,3.8297
QCOM,2025-11-19,166.11,153.7329,190.8643,6.8,"50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-01,168.04,1.1119,expired,7,-4.3706,1.7579
ORLY,2025-11-19,98.7,94.6371,106.8257,6.4,"20MA눌림목, 50MA눌림목, 이평정배열",2025-12-01,101.24,2.5235,expired,7,-0.537,3.8095
VRTX,2025-11-20,422.32,396.9514,473.0571,7.6,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2025-12-02,433.15,2.5144,expired,7,-0.1066,3.2037
ORLY,2025-11-20,99.01,94.9371,107.1557,7.4,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-02,99.84,0.7883,expired,7,-0.3535,3.4845
KDP,2025-11-20,27.21,26.0986,29.4329,7.1,"20MA눌림목, 50MA눌림목, 골든크로스",2025-12-02,28.13,3.3311,expired,7,-1.617,3.6751
GEHC,2025-11-20,74.75,70.6461,82.9577,6.8,"20MA눌림목, 50MA눌림목, 거래량2.0x",2025-12-02,80.22,7.2677,expired,7,-1.8729,9.6187
PCAR,2025-11-20,97.6,92.64,107.52,6.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-02,105.89,8.4439,expired,7,0.0,8.832
INTU,2025-11-21,663.15,626.5714,736.3072,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.2x, 스토캐스틱크로스",2025-11-26,626.5714,-5.5659,stop_loss,3,-6.534,1.1852
PEP,2025-11-21,146.33,141.5457,155.8986,9.4,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2025-12-03,148.06,1.1323,expired,7,-1.0729,2.9864
GEHC,2025-11-21,76.45,72.13,85.09,9.32,"20MA눌림목, 50MA눌림목, 돌파(10d_high_breakout), MACD상향, 거래량1.9x",2025-12-03,83.59,9.2894,expired,7,0.0,10.0196
EXC,2025-11-21,45.75,43.8171,49.6157,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-12-03,44.54,-2.6948,expired,7,-3.3443,3.1038
ROP,2025-11-21,443.75,427.3043,476.6415,9.1,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-12-03,445.89,0.4323,expired,7,-1.1313,1.3634
EXC,2025-11-24,46.23,44.4629,49.7643,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 거래량1.9x",2025-12-03,44.4629,-3.8725,stop_loss,6,-4.3478,2.0333
KLAC,2025-11-24,1136.73,1044.5629,1321.0642,8.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-04,1208.08,6.2268,expired,7,-2.5784,7.0668
TXN,2025-11-24,161.26,151.71,180.36,7.6,"20MA눌림목, BB하단반등, 강세다이버전스",2025-12-03,180.36,11.7942,take_profit,6,-1.5937,13.4813
